iter	Logloss
0	0.6772118417
1	0.6617214415
2	0.6468445733
3	0.6326372247
4	0.6212871634
5	0.6102343188
6	0.5998310019
7	0.5894484562
8	0.5783411061
9	0.5692647214
10	0.5593693392
11	0.5507309559
12	0.5440473972
13	0.5354184991
14	0.5294083084
15	0.5227462195
16	0.5173000351
17	0.5103889412
18	0.5041125584
19	0.4990097298
20	0.4936205735
21	0.4893514353
22	0.4845922253
23	0.4795041716
24	0.4745704684
25	0.4705448032
26	0.4672243974
27	0.4628728385
28	0.4590533865
29	0.4557857525
30	0.4526749459
31	0.4499092818
32	0.4470283894
33	0.4446368252
34	0.443162889
35	0.4402378437
36	0.4372135868
37	0.4350568024
38	0.4319999758
39	0.4301695695
40	0.4282907645
41	0.4260075982
42	0.4238342087
43	0.4219273661
44	0.4196294043
45	0.4178355922
46	0.4165607401
47	0.414919883
48	0.4134678938
49	0.4115664682
50	0.4101964019
51	0.4087531173
52	0.4076713478
53	0.4063338631
54	0.4047607654
55	0.4043331517
56	0.4033119941
57	0.4018620059
58	0.4013650073
59	0.400253418
60	0.399169278
61	0.398274864
62	0.3974288864
63	0.3966533079
64	0.3957459353
65	0.3949251346
66	0.393898954
67	0.3931454053
68	0.3924082641
69	0.3918182739
70	0.390912592
71	0.3901666674
72	0.3894086796
73	0.3885456999
74	0.3879700757
75	0.3873574678
76	0.3867932863
77	0.3862800195
78	0.3855356483
79	0.3848101939
80	0.3843194131
81	0.3836642725
82	0.3831627742
83	0.3826865443
84	0.3821379318
85	0.3816271468
86	0.3810667094
87	0.3804623575
88	0.3799420224
89	0.3796652365
90	0.3791851388
91	0.378709133
92	0.3782977103
93	0.3777938583
94	0.3773545244
95	0.3769546032
96	0.3766932077
97	0.3763254782
98	0.375999021
99	0.3755303854
100	0.3751359565
101	0.3747900883
102	0.3743366204
103	0.3739150333
104	0.3735173878
105	0.3732263515
106	0.3729065705
107	0.3725547482
108	0.3722529859
109	0.3718911498
110	0.3715723121
111	0.371394324
112	0.3710785562
113	0.3708713853
114	0.3705009646
115	0.3702511742
116	0.3699276554
117	0.3696886261
118	0.3694069961
119	0.3691564082
120	0.3689358866
121	0.3687861356
122	0.3685669257
123	0.3682558217
124	0.3680058284
125	0.3678704896
126	0.3676239663
127	0.3674048432
128	0.3671741387
129	0.3668888533
130	0.3666734823
131	0.3664195974
132	0.3662043157
133	0.3659121029
134	0.365762817
135	0.3655263134
136	0.3653586032
137	0.3652160592
138	0.3650076185
139	0.3648277811
140	0.3646288189
141	0.3644629323
142	0.3642729529
143	0.3640852908
144	0.3638379325
145	0.3636732169
146	0.3633994191
147	0.3632491588
148	0.3631258032
149	0.3629133591
150	0.362725732
151	0.3626327703
152	0.3625220156
153	0.3624810977
154	0.3622601738
155	0.3620572374
156	0.3619174122
157	0.3617712718
158	0.3616457566
159	0.3615293143
160	0.3613713802
161	0.3611978017
162	0.3610240867
