feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(9,)",[0.68305669 0.69981617 0.72201586],0.7016295740284967,"('cat_internet_service_Fiber optic',)",0.035907651634576036,0.015956620493570273,0.011283034555823775
"(1, 9)",[0.73043937 0.77584773 0.77076402],0.7590170386997239,"('total_charges', 'cat_internet_service_Fiber optic')",0.04571265585553069,0.020313762332970747,0.014363999097055477
"(0, 1, 9)",[0.7746856  0.80012306 0.80422687],0.7930118395771103,"('monthly_charges', 'total_charges', 'cat_internet_service_Fiber optic')",0.029403848017958336,0.01306646418005774,0.009239385427849951
"(0, 1, 9, 37)",[0.78240625 0.80355461 0.80952707],0.7984959738148443,"('monthly_charges', 'total_charges', 'cat_internet_service_Fiber optic', 'cat_multiple_lines_No')",0.026183689863685522,0.011635492249063245,0.008227535471756134
"(0, 1, 9, 31, 37)",[0.79006618 0.80265257 0.81251424],0.8017443311450125,"('monthly_charges', 'total_charges', 'cat_internet_service_Fiber optic', 'cat_senior_citizen_0', 'cat_multiple_lines_No')",0.02067345500031095,0.009186857416574115,0.006496089177053485
"(0, 1, 9, 24, 31, 37)",[0.79512094 0.80776856 0.81463546],0.8058416550835831,"('monthly_charges', 'total_charges', 'cat_internet_service_Fiber optic', 'cat_streaming_tv_Yes', 'cat_senior_citizen_0', 'cat_multiple_lines_No')",0.01818816020803205,0.008082443621469376,0.005715150693298953
"(0, 1, 3, 9, 24, 31, 37)",[0.79815494 0.80618097 0.82141311],0.808583004932475,"('monthly_charges', 'total_charges', 'cat_paperless_billing_Yes', 'cat_internet_service_Fiber optic', 'cat_streaming_tv_Yes', 'cat_senior_citizen_0', 'cat_multiple_lines_No')",0.021706287081650427,0.009645826711565521,0.006820629477898316
"(0, 1, 3, 9, 24, 26, 31, 37)",[0.79848509 0.81012336 0.82612081],0.8115764199824089,"('monthly_charges', 'total_charges', 'cat_paperless_billing_Yes', 'cat_internet_service_Fiber optic', 'cat_streaming_tv_Yes', 'cat_streaming_movies_No', 'cat_senior_citizen_0', 'cat_multiple_lines_No')",0.025493810048580666,0.011328923874505363,0.008010758895208919
"(0, 1, 3, 4, 9, 24, 26, 31, 37)",[0.79841868 0.81465255 0.82898455],0.8140185941249957,"('monthly_charges', 'total_charges', 'cat_paperless_billing_Yes', 'cat_payment_method_Bank transfer (automatic)', 'cat_internet_service_Fiber optic', 'cat_streaming_tv_Yes', 'cat_streaming_movies_No', 'cat_senior_citizen_0', 'cat_multiple_lines_No')",0.028098767699829146,0.012486513378430743,0.008829298283264925
"(0, 1, 3, 4, 9, 24, 26, 31, 35, 37)",[0.80003339 0.81094374 0.82885921],0.8132787837411849,"('monthly_charges', 'total_charges', 'cat_paperless_billing_Yes', 'cat_payment_method_Bank transfer (automatic)', 'cat_internet_service_Fiber optic', 'cat_streaming_tv_Yes', 'cat_streaming_movies_No', 'cat_senior_citizen_0', 'cat_dependents_No', 'cat_multiple_lines_No')",0.026741467466827054,0.011883357122648363,0.008402802404686117
